StartDate,EndDate,Progress,Duration (in seconds),Finished,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Text / Graphic,Q1,Q2,Q3,Q4,Q5,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q7_0_GROUP,Q7_1_GROUP,Q7_2_GROUP,Q7_0_1_RANK,Q7_0_2_RANK,Q7_0_3_RANK,Q7_0_4_RANK,Q7_0_5_RANK,Q7_0_6_RANK,Q7_0_7_RANK,Q7_0_8_RANK,Q7_0_9_RANK,Q7_0_10_RANK,Q7_0_11_RANK,Q7_0_12_RANK,Q7_0_13_RANK,Q7_0_14_RANK,Q7_1_1_RANK,Q7_1_2_RANK,Q7_1_3_RANK,Q7_1_4_RANK,Q7_1_5_RANK,Q7_1_6_RANK,Q7_1_7_RANK,Q7_1_8_RANK,Q7_1_9_RANK,Q7_1_10_RANK,Q7_1_11_RANK,Q7_1_12_RANK,Q7_1_13_RANK,Q7_1_14_RANK,Q7_2_1_RANK,Q7_2_2_RANK,Q7_2_3_RANK,Q7_2_4_RANK,Q7_2_5_RANK,Q7_2_6_RANK,Q7_2_7_RANK,Q7_2_8_RANK,Q7_2_9_RANK,Q7_2_10_RANK,Q7_2_11_RANK,Q7_2_12_RANK,Q7_2_13_RANK,Q7_2_14_RANK,Q8,Q9,Q10,Q11,Q12,Q12_1_TEXT,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q17,Q18,Q18_24_TEXT,Q19,Q20
8/9/2022 12:52,8/9/2022 14:22,100,5351,TRUE,,26.2681,-80.2092,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,Your Name,50,50,5,,5,"Spirit Airlines,Frontier Airlines",,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,I prefer not to answer this question.,,I prefer not to answer this question.,45-54 years old,Male,,No,Asian,Islam,,I do not suffer from any chronic illness.,
8/9/2022 14:19,8/9/2022 14:25,100,368,TRUE,,33.838,-117.9189,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,Your Name,94,95,95,94,95,American Airlines,Spirit Airlines,"Avelo Airlines,Sun Country Airlines,Eastern Airlines,Breeze Airways,Allegiant Air",,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,1,4,,3,,,,,,2,,No,No,No,No,No,,Yes,45-54 years old,Male,,Yes,Asian,Prefer Not to Disclose,,I prefer not to answer this question.,"Traveling on a foreign passport was nightmare scenario after 9/11 but after becoming US citizen and getting TSA pre check, I found flying to be very smooth and pleasant experience "
8/9/2022 14:28,8/9/2022 14:32,100,242,TRUE,,28.0406,-82.3951,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,100,50,100,50,50,"Delta Air Lines,Alaska Airlines,JetBlue,Southwest Airlines,American Airlines,Hawaiian Airlines","Sun Country Airlines,Allegiant Air,United Airlines,Frontier Airlines,Spirit Airlines","Avelo Airlines,Breeze Airways,Eastern Airlines",2,,5,,,1,,,6,3,4,,,,,2,,,,,,4,,,,5,1,3,,,,1,2,,3,,,,,,,,No,No,No,No,No,,Yes,35-44 years old,Male,,Yes,Asian,Islam,,,
8/9/2022 17:43,8/9/2022 17:48,100,300,TRUE,,28.0406,-82.3951,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,50,50,20,50,50,"Delta Air Lines,JetBlue,United Airlines,Southwest Airlines,American Airlines","Spirit Airlines,Frontier Airlines","Allegiant Air,Hawaiian Airlines,Avelo Airlines,Alaska Airlines,Breeze Airways,Eastern Airlines,Sun Country Airlines",,,5,,,1,,,,2,4,,,3,,,,,,,,2,,,,1,,,4,1,,3,5,,6,,2,,,,7,,No,No,No,No,No,,Yes,35-44 years old,Female,,Yes,White,Islam,,I prefer not to answer this question.,
8/9/2022 22:43,8/9/2022 22:48,100,292,TRUE,,40.5084,-111.8838,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,75,50,50,"United Airlines,Delta Air Lines",,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,35-44 years old,Male,,No,Asian,Islam,,I do not suffer from any chronic illness.,
8/10/2022 1:37,8/10/2022 6:09,100,16275,TRUE,,39.6562,-104.7866,anonymous,EN,Yes,Monthly,"Yes, on the basis of race.,Yes, on the basis of religion.,Yes, on the basis of ancestry.","No, I have not filed a complaint.",No,"Your Name,I do not visibly represent any religious symbols.",21,50,50,28,50,"Delta Air Lines,Frontier Airlines,United Airlines","Southwest Airlines,Spirit Airlines,American Airlines","Breeze Airways,Allegiant Air,Sun Country Airlines,Avelo Airlines,Eastern Airlines,Hawaiian Airlines,JetBlue",,,,,,1,,2,,,,,,3,,,3,,,,,,,,1,2,,,,2,,4,1,,5,,6,7,,,3,,No,Yes,No,Yes,Yes,Global entry registration ,Yes,45-54 years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,
8/11/2022 4:12,8/11/2022 4:18,100,327,TRUE,,42.0774,-71.0446,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,50,49,26,54,53,"United Airlines,American Airlines,Spirit Airlines,JetBlue,Delta Air Lines",,"Southwest Airlines,Eastern Airlines,Avelo Airlines,Allegiant Air,Alaska Airlines,Hawaiian Airlines,Breeze Airways,Frontier Airlines,Sun Country Airlines",,,2,,,5,,,,4,,3,,1,,,,,,,,,,,,,,,5,4,,3,7,,2,8,6,,1,,9,,No,No,No,No,No,,Yes,35-44 years old,Female,,Yes,Some Other Race,Islam,,I do not suffer from any chronic illness.,
8/11/2022 15:39,8/11/2022 16:09,100,1788,TRUE,,28.5436,-81.3738,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,70,50,30,50,50,"Delta Air Lines,JetBlue,Southwest Airlines","Spirit Airlines,Frontier Airlines,American Airlines,United Airlines","Alaska Airlines,Sun Country Airlines,Avelo Airlines,Allegiant Air,Hawaiian Airlines,Breeze Airways,Eastern Airlines",,,,,,1,,,,2,3,,,,,,3,,,,,2,,,,1,,4,1,4,,3,6,,7,,5,,,,2,,Yes,No,No,No,Yes,"Be kind and look everyone in the eye because whether I get profiled or not, you're gonna respect me.",Yes,25-34 years old,Male,,Yes,Black of African American,Other,Omnist,I do not suffer from any chronic illness.,"An international flight moved two hours earlier the day before takeoff and I did not notice. When I arrived at the gate, I actually arrived with the pilot who was on the transport train with me. It was just the two of us. When we got to the gate, he got on the plane and I wasn't allowed on the plane because the process to verify my information would ""take too long."" The flight attendant didn't try or give an opportunity when all of my information was in my hands and ready to go. She displayed assertiveness and refused to let me finish my sentences without interrupting. The pilot stayed out of it, got on the plane, and took off. I went through several international customs during my trip through various countries, including another flight to the same destination in the same airport on the same day for 4x the price and the approval process for the flight took less than five minutes. She could have helped me but it felt racially motivated based on me being late for flight I originally would've been early for. It took a full month to get my money back after building a case based on her behavior, and the behavior of several airline representatives and the poor customer service proved to be undeniable. Avianca was the airline."
8/15/2022 8:57,8/15/2022 9:26,100,1768,TRUE,,33.852,-84.1152,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,Muslim Headscarf / Hijab,Long beard",61,62,15,19,60,"Southwest Airlines,Spirit Airlines",Delta Air Lines,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,No,,Yes,65+ years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,"Extra checking of my hand carry at London Heathrow Airport after x-ray clearance while I was traveling with my grands aging one, three and six and my daughter in law when I was about to miss my flight to US, couple of weeks ago. Also one of the flight attendants passed comments with adverse attitude. "
8/9/2022 6:11,8/9/2022 6:14,24,203,FALSE,,,,anonymous,EN,Yes,Monthly,No,"No, I have not filed a complaint.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 9:49,8/9/2022 9:52,29,167,FALSE,,,,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of race.","No, I do not know how to file a complaint.",No,Your Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 9:55,8/9/2022 9:57,24,89,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 10:30,8/9/2022 10:33,33,184,FALSE,,,,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 10:43,8/9/2022 10:43,5,6,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 11:47,8/9/2022 11:47,5,16,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 11:50,8/9/2022 11:51,14,63,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 11:59,8/9/2022 11:59,10,31,FALSE,,,,anonymous,EN,Yes,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 13:20,8/9/2022 13:21,24,94,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","Yes, I filed a complaint with a federal agency.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 17:40,8/9/2022 17:42,24,111,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 21:49,8/9/2022 21:56,95,454,FALSE,,,,anonymous,EN,Yes,,"Yes, on the basis of race.,Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,Your Name,34,44,32,100,100,,JetBlue,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,,Yes,45-54 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
8/9/2022 23:41,8/9/2022 23:44,33,229,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,Your Name,50,50,25,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 23:43,8/9/2022 23:45,24,64,FALSE,,,,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 23:44,8/9/2022 23:48,33,245,FALSE,,,,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,Your Name,,,66,65,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2022 23:43,8/9/2022 23:53,29,657,FALSE,,,,anonymous,EN,Yes,I do not travel by commercial airline.,I prefer not to answer this question.,I prefer not to answer this question.,No,Muslim Headscarf / Hijab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2022 6:51,8/10/2022 6:53,10,141,FALSE,,,,anonymous,EN,Yes,4-6 times per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2022 15:44,8/10/2022 15:44,5,14,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2022 9:34,8/15/2022 9:35,24,85,FALSE,,,,anonymous,EN,Yes,<3 times per year,,I prefer not to answer this question.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2022 10:48,8/15/2022 10:52,19,242,FALSE,,,,anonymous,EN,Yes,I do not travel by commercial airline.,No,I prefer not to answer this question.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2022 15:03,8/25/2022 16:47,100,6240,TRUE,,28.7935,-81.2868,anonymous,EN,Yes,Monthly,,,,,70,70,45,61,65,American Airlines,Delta Air Lines,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/2022 23:01,8/26/2022 23:11,100,595,TRUE,,42.0221,-88.1705,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,Your Name,90,,75,90,,"American Airlines,United Airlines,Delta Air Lines,Southwest Airlines,Hawaiian Airlines,JetBlue",,"Spirit Airlines,Frontier Airlines,Alaska Airlines,Breeze Airways,Allegiant Air,Eastern Airlines,Avelo Airlines,Sun Country Airlines",,,1,,,3,,,5,6,4,,,2,,,,,,,,,,,,,,,3,5,,7,4,,6,2,,,,1,8,,No,No,No,No,No,,Yes,55-64 years old,Female,,Yes,Asian,Islam,,"I do not suffer from any chronic illness.,Asthma",National within US travel is easy. International Travel is bit challenging. Felt other Countries profile 
8/22/2022 6:37,8/22/2022 6:37,5,8,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2022 17:14,8/29/2022 9:57,95,319416,FALSE,,,,anonymous,EN,,<3 times per year,,,,,69,60,35,69,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Hispanic or Latino,,,,
9/26/2022 9:38,9/26/2022 9:45,100,449,TRUE,,40.8949,-74.011,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",I prefer not to answer this question.,"Your Name,Long beard",13,34,2,63,43,Delta Air Lines,Spirit Airlines,Sun Country Airlines,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,No,Yes,No,No,Yes,,Yes,55-64 years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,
1/1/2023 23:09,1/1/2023 23:18,100,525,TRUE,,33.6748,-117.9089,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of disability.","No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,60,60,53,"JetBlue,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Airlines,American Airlines",,"Eastern Airlines,Breeze Airways,Avelo Airlines,Hawaiian Airlines,Frontier Airlines,Spirit Airlines,Sun Country Airlines,Allegiant Air",5,,6,,,2,,,,1,3,,,4,,,,,,,,,,,,,,,,8,,3,2,,1,5,4,,,6,7,,No,No,No,No,Yes,"Being super positive, super nice",Yes,45-54 years old,Female,,No,White,Christianity,,"Depression,Arthritis","Since I started requesting a wheelchair it's been better. Before, I would cry from pain while standing in lines. However, some airports lack staff (or wheelchairs). Also, I ALWAYS get a strip search. Every time. I don't even care anymore."
1/2/2023 3:45,1/2/2023 3:53,100,487,TRUE,,48.794,9.0164,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,75,50,50,"Delta Air Lines,United Airlines,American Airlines,Southwest Airlines","Frontier Airlines,Spirit Airlines","Allegiant Air,Hawaiian Airlines,Breeze Airways,Avelo Airlines,Eastern Airlines,Alaska Airlines,Sun Country Airlines,JetBlue",,,3,,,1,,,,,4,,,2,,,,,,,,1,,,,2,,,6,1,,4,3,,5,,2,8,,,7,,No,No,No,No,No,,No,25-34 years old,Female,,Yes,White,Christianity,,Depression,"As a white, Christian, female who has traveled to many parts of the world, I have never felt unsafe or unwanted by any airline personnel. "
1/2/2023 6:49,1/2/2023 6:53,100,188,TRUE,,-1.2841,36.8155,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,Large Cross,43,30,33,33,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I prefer not to answer this question.,I prefer not to answer this question.,I prefer not to answer this question.,No,No,,Yes,35-44 years old,Male,,No,Hispanic or Latino,Christianity,,I prefer not to answer this question.,
1/2/2023 6:56,1/2/2023 7:00,100,229,TRUE,,48.8323,2.4075,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,"Your Name,I do not visibly represent any religious symbols.",50,51,53,53,53,Delta Air Lines,United Airlines,Spirit Airlines,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,No,No,No,Yes,No,,Yes,35-44 years old,Female,,No,White,Islam,,I do not suffer from any chronic illness.,"I am Turkish and Bulgarian. Married to an American. When I travel by myself vs when I travel with him, I am treated differently. I was detained in Germany for having two different passports. "
1/2/2023 7:43,1/2/2023 7:47,100,206,TRUE,,26.8238,-80.1407,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of national origin.,Yes, on the basis of religion.","No, I have not filed a complaint.",No,Your Name,50,51,19,50,50,Delta Air Lines,"Southwest Airlines,American Airlines","Alaska Airlines,Allegiant Air,Avelo Airlines,Breeze Airways,Eastern Airlines,Frontier Airlines,Hawaiian Airlines,JetBlue,Spirit Airlines,Sun Country Airlines,United Airlines",,,,,,1,,,,,,,,,,,2,,,,,,,,1,,,,1,2,,3,4,,5,6,7,8,,9,10,11,No,Yes,No,No,No,,Yes,45-54 years old,Male,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,
1/2/2023 8:16,1/2/2023 8:22,100,343,TRUE,,48.2372,16.3771,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,82,89,90,87,90,American Airlines,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,No,45-54 years old,Female,,No,White,Christianity,,I do not suffer from any chronic illness.,
1/2/2023 11:42,1/2/2023 12:06,100,1441,TRUE,,45.0123,-93.3447,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.,Yes, I filed a complaint with a federal agency.",No,"Your Name,I do not visibly represent any religious symbols.",90,80,95,80,90,Delta Air Lines,Spirit Airlines,"Avelo Airlines,Allegiant Air,Breeze Airways,Eastern Airlines,Hawaiian Airlines",,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,3,,4,,5,,,,,,No,No,No,Yes,Yes,I applied for and received Gloval Entry permit that enabled expedited security check and expedited entry in to the United States. ,Yes,55-64 years old,Male,,Yes,Asian,Islam,,Type 2 Diabetes,"After the terrorist attacks on 9-11-2001, I was put on the do not fly list because of my name.  After experiencing multiple delays getting a boarding pass,  security checks, immigration,  and customs,  I asked a customs officer what I can do to avoid such delays in the future and clear my name.  He suggested that I apply for Global Entry,  which I promptly did.  Global Entry qualification entails a background check by Federal authorities and an in person interview.   After I was approved for Global Entry,  I was entitled to expedited security checks at the airport abd also a special expedited immigration and customs check upon entry to the US.  I have utilized this service for over 8 years and have not experienced any random checks or delays while traveling.  I recommend this service to anyone who complains about delays or discrimination at the airports. "
1/2/2023 14:34,1/2/2023 14:38,100,215,TRUE,,41.3484,-72.9117,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,20,50,50,"Delta Air Lines,American Airlines,Alaska Airlines","JetBlue,Southwest Airlines","Breeze Airways,Eastern Airlines,Sun Country Airlines,United Airlines,Spirit Airlines,Allegiant Air,Hawaiian Airlines,Avelo Airlines,Frontier Airlines",3,,2,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,6,,8,1,,2,9,7,,,5,3,4,No,No,No,No,No,,No,35-44 years old,Female,,Yes,White,Christianity,,,
1/3/2023 13:33,1/3/2023 13:40,100,448,TRUE,,33.8229,-84.3535,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.","Yes, I filed a complaint with a federal agency.",No,"Your Name,Long beard",52,57,65,65,71,"Spirit Airlines,Frontier Airlines,Southwest Airlines,JetBlue","United Airlines,Eastern Airlines,Delta Air Lines","American Airlines,Sun Country Airlines,Hawaiian Airlines,Breeze Airways",,,,,,,,2,,4,3,1,,,,,,,,3,2,,,,,,,1,,,1,,4,,,,3,,,,2,,No,No,No,Yes,Yes,,Yes,45-54 years old,Male,,Yes,Multiracial,Islam,,I prefer not to answer this question.,
1/3/2023 17:46,1/3/2023 17:50,100,238,TRUE,,34.0402,-118.7351,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,81,81,82,82,57,United Airlines,"Southwest Airlines,Spirit Airlines",,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,No,No,No,No,No,,No,45-54 years old,Female,,Yes,White,Atheism/Agnosticism,,I do not suffer from any chronic illness.,
1/3/2023 18:12,1/3/2023 18:16,100,242,TRUE,,40.7484,-73.862,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,50,50,50,"United Airlines,JetBlue",Southwest Airlines,,,,,,,,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,No,No,No,No,No,,Yes,35-44 years old,Male,,No,White,Atheism/Agnosticism,,I do not suffer from any chronic illness.,
1/4/2023 11:19,1/4/2023 11:27,100,464,TRUE,,28.3774,-81.1888,anonymous,EN,Yes,<3 times per year,No,"No, I have not filed a complaint.",No,I do not visibly represent any religious symbols.,50,50,51,51,50,"JetBlue,Delta Air Lines,Southwest Airlines","Allegiant Air,United Airlines,American Airlines","Breeze Airways,Avelo Airlines,Alaska Airlines,Spirit Airlines,Eastern Airlines,Sun Country Airlines,Hawaiian Airlines,Frontier Airlines",,,,,,2,,,,1,3,,,,,1,3,,,,,,,,,,,2,3,,,2,1,,5,8,7,,,4,6,,No,No,No,No,No,,No,65+ years old,Male,,Yes,White,Other,None,I do not suffer from any chronic illness.,N/A
1/5/2023 10:18,1/5/2023 10:22,100,254,TRUE,,38.8138,-77.1487,anonymous,EN,Yes,4-6 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,Muslim Headscarf / Hijab",50,50,0,50,50,"United Airlines,American Airlines",,"Alaska Airlines,Allegiant Air,Delta Air Lines,Avelo Airlines,Breeze Airways,Eastern Airlines,Frontier Airlines,Hawaiian Airlines,JetBlue,Southwest Airlines,Spirit Airlines,Sun Country Airlines",,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,2,,4,5,3,6,7,8,9,10,11,12,,No,Yes,No,No,No,,Yes,25-34 years old,Female,,Yes,Asian,Islam,,I prefer not to answer this question.,Pat down and chemical test of hijab consistently at Dulles Airport and Roanoke VA airport 
1/1/2023 22:11,1/1/2023 22:13,29,115,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,Muslim Headscarf / Hijab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2023 22:44,1/1/2023 22:44,5,43,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2023 22:59,1/1/2023 23:00,19,86,FALSE,,,,anonymous,EN,Yes,4-6 times per year,No,"No, I have not filed a complaint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2023 23:30,1/1/2023 23:30,5,27,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2023 7:21,1/2/2023 7:22,10,39,FALSE,,,,anonymous,EN,Yes,<3 times per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2023 10:36,1/2/2023 10:37,10,46,FALSE,,,,anonymous,EN,Yes,4-6 times per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2023 15:20,1/2/2023 15:21,10,54,FALSE,,,,anonymous,EN,Yes,<3 times per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2023 21:01,1/9/2023 21:08,100,439,TRUE,,37.7045,-122.0742,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of religion.","No, I have not filed a complaint.",No,"Your Name,Muslim Headscarf / Hijab",51,53,33,52,42,United Airlines,,"Allegiant Air,Avelo Airlines,Frontier Airlines,Eastern Airlines,Breeze Airways,Hawaiian Airlines,JetBlue,Sun Country Airlines,Spirit Airlines",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,5,,4,3,6,7,,9,8,,No,No,No,No,No,,Yes,25-34 years old,Female,,Yes,Asian,Islam,,I do not suffer from any chronic illness.,I kept getting pulled over for additional screening at passport control based on my name. I was held in a separate waiting area for them to ask me questions. People who have flown with me have also been detained while I get questioned. I get randomly selected all the time for additional checks. Tsa agents are very aggressive when asking or administering a residue check or my hijab.
1/3/2023 0:51,1/3/2023 0:53,33,82,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.","No, I have not filed a complaint.",No,Large Cross,75,41,20,17,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2023 16:20,1/3/2023 16:21,29,69,FALSE,,,,anonymous,EN,Yes,<3 times per year,"Yes, on the basis of national origin.,Yes, on the basis of ancestry.","Yes, I filed a complaint with a federal agency.",No,I do not visibly represent any religious symbols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2023 17:36,1/3/2023 17:36,5,20,FALSE,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
